A000250,삼천당제약
A000440,중앙에너비스
A001000,신라섬유
A001540,안국약품
A001810,무림SP
A001840,이화공영
A002230,피에스텍
A002290,삼일기업공사
A002680,한탑
A002800,신신제약
A003100,선광
A003310,대주산업
A003380,하림지주
A003800,에이스침대
A004590,한국가구
A004650,창해에탄올
A004780,대륙제관
A005160,동국산업
A005290,동진쎄미켐
A005670,푸드웰
A005710,대원산업
A005860,한일사료
A005990,매일홀딩스
A006050,국영지앤엠
A006140,피제이전자
A006580,대양제지
A006620,동구바이오제약
A006730,서부T&D
A006910,보성파워텍
A006920,모헨즈
A007330,푸른저축은행
A007370,진양제약
A007390,네이처셀
A007530,영신금속
A007680,대원
A007720,대명소노시즌
A007770,한일화학
A007820,에스엠코어
A008290,원풍물산
A008370,원풍
A008470,부스타
A008800,행남사
A008830,대동기어
A009300,삼아제약
A009520,포스코엠텍
A009620,삼보산업
A009730,코센
A009780,엠에스씨
A010170,대한광통신
A010240,흥국
A010280,쌍용정보통신
A010470,오리콤
A011040,경동제약
A011080,형지I&C
A011320,유니크
A011370,서한
A011560,세보엠이씨
A012340,뉴인텍
A012620,원일특강
A012700,리드코프
A012790,신일제약
A012860,모베이스전자
A013030,하이록코리아
A013120,동원개발
A013310,아진산업
A013720,청보산업
A013810,스페코
A013990,아가방컴퍼니
A014100,메디앙스
A014190,원익큐브
A014200,광림
A014470,부방
A014570,고려제약
A014620,성광벤드
A014940,오리엔탈정공
A014970,삼륭물산
A015710,코콤
A015750,성우하이텍
A016100,리더스코스메틱
A016250,SGC이테크건설
A016600,큐캐피탈
A016670,포비스티앤씨
A016790,현대사료
A016920,카스
A017000,신원종합개발
A017250,인터엠
A017480,삼현철강
A017510,세명전기
A017650,대림제지
A017890,한국알콜
A018000,유니슨
A018120,진로발효
A018290,브이티지엠피
A018310,삼목에스폼
A018620,우진비앤지
A018680,서울제약
A018700,바른손
A019010,베뉴지
A019210,와이지-원
A019540,일지테크
A019550,SBI인베스트먼트
A019570,리더스 기술투자
A019590,엠벤처투자
A019660,글로본
A019770,서연탑메탈
A019990,에너토크
A020180,대신정보통신
A020400,대동금속
A020710,시공테크
A021040,대호피앤씨
A021045,대호피앤씨우
A021080,에이티넘인베스트
A021320,KCC건설
A021650,한국큐빅
